Recipient,Agency,Funding_Agency,State,City,Action_Date,Start_Date,Award_Value,Industry,Award_Description
IST RESEARCH CORP.,DEPARTMENT OF DEFENSE (DOD),DEPARTMENT OF DEFENSE (DOD),VA,FREDERICKSBURG,8/24/2021,9/20/2019 0:00,2786441,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)",INCREMENTAL FUNDING
CAPSTONE CORPORATION,DEPARTMENT OF DEFENSE (DOD),DEPARTMENT OF DEFENSE (DOD),DC,WASHINGTON,9/20/2021,3/28/2021 0:00,1436837.1,COMPUTER SYSTEMS DESIGN SERVICES,CYBERSECURITY AND SYSTEM ADM. SPT SVCS
"LEIDOS, INC.",DEPARTMENT OF DEFENSE (DOD),DEPARTMENT OF DEFENSE (DOD),VA,RESTON,2/19/2021,7/29/2016 0:00,745238,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT BIOTECHNOLOGY)","RESEARCH AND DEVELOPMENT SUPPORT FOR DEVELOPMENT, ANALYSIS, AND MODELING OF UXO SENSORS."
"OWENS & MINOR DISTRIBUTION, INC.",DEPARTMENT OF DEFENSE (DOD),DEPARTMENT OF DEFENSE (DOD),VA,MECHANICSVILLE,1/28/2021,1/28/2021 0:00,1393.31,"MEDICAL, DENTAL, AND HOSPITAL EQUIPMENT AND SUPPLIES MERCHANT WHOLESALERS",4552351186!TRBO REGION 3
NATIONAL INDUSTRIES FOR THE BLIND,GENERAL SERVICES ADMINISTRATION (GSA),GENERAL SERVICES ADMINISTRATION (GSA),VA,ALEXANDRIA,7/1/2021,7/1/2021 0:00,266.8,OTHER COMMERCIAL AND SERVICE INDUSTRY MACHINERY MANUFACTURING,"SOAP,TOILET"
"OFFICE DEPOT, INC.",GENERAL SERVICES ADMINISTRATION (GSA),GENERAL SERVICES ADMINISTRATION (GSA),MD,COLUMBIA,2/3/2021,2/3/2021 0:00,71.4,OFFICE SUPPLIES (EXCEPT PAPER) MANUFACTURING,KEYBOARD - WIRED
"PRODUCE SOURCE PARTNERS, INC.",DEPARTMENT OF DEFENSE (DOD),DEPARTMENT OF DEFENSE (DOD),VA,ASHLAND,2/9/2021,2/9/2021 0:00,969.97,PERISHABLE PREPARED FOOD MANUFACTURING,"4552468067!RASPBERRIES, FRESH,"
JO-KELL INC.,DEPARTMENT OF DEFENSE (DOD),DEPARTMENT OF DEFENSE (DOD),VA,CHESAPEAKE,3/10/2021,3/10/2021 0:00,14976.09,OTHER METAL VALVE AND PIPE FITTING MANUFACTURING,"ADAPTER,PHOTOSENSOR"
"OFFICE DEPOT, INC.",GENERAL SERVICES ADMINISTRATION (GSA),GENERAL SERVICES ADMINISTRATION (GSA),MD,COLUMBIA,11/4/2020,11/4/2020 0:00,406.92,OFFICE SUPPLIES (EXCEPT PAPER) MANUFACTURING,DATED 2021 - WALL CALENDAR
"P.J.K. FOOD SERVICE, LLC",DEPARTMENT OF DEFENSE (DOD),DEPARTMENT OF DEFENSE (DOD),MD,HYATTSVILLE,2/18/2021,2/18/2021 0:00,125,PERISHABLE PREPARED FOOD MANUFACTURING,"4552556201!APPLES, CHL,"
